Benchmark_Set,Benchmark_Description,Drug_ID,Drug_Name
EGFR,EGFR inhibitors,BRD:BRD-K08799216-001-05-3,PELITINIB
EGFR,EGFR inhibitors,BRD:BRD-K13087974-001-02-5,CGP-52411
EGFR,EGFR inhibitors,BRD:BRD-K24869513-001-02-1,CNX-2006
EGFR,EGFR inhibitors,BRD:BRD-K31698212-001-02-9,ICOTINIB
EGFR,EGFR inhibitors,BRD:BRD-K33610132-001-02-9,ROCILETINIB
EGFR,EGFR inhibitors,BRD:BRD-K34533029-001-08-5,TYRPHOSTIN-AG-494
EGFR,EGFR inhibitors,BRD:BRD-K42805893-001-04-9,OSIMERTINIB
EGFR,EGFR inhibitors,BRD:BRD-K49294207-300-03-8,BIBU-1361
EGFR,EGFR inhibitors,BRD:BRD-K64052750-001-17-5,GEFITINIB
EGFR,EGFR inhibitors,BRD:BRD-K73293050-001-03-1,WZ-3146
EGFR,EGFR inhibitors,BRD:BRD-K73309154-003-02-8,OSI-420
EGFR,EGFR inhibitors,BRD:BRD-K81728688-001-04-4,WZ8040
EGFR,EGFR inhibitors,BRD:BRD-K22514639-001-05-7,EGF816
EGFR,EGFR inhibitors,BRD:BRD-K10115470-001-01-8,PKI-166
EGFR,EGFR inhibitors,BRD:BRD-K41626799-001-01-1,AZD3759
EGFR,EGFR inhibitors,BRD:BRD-K58811567-001-01-9,HKI-357
NR3C1,glucocorticoid receptor agonists,BRD:BRD-A01643550-001-04-9,PREDNISOLONE-ACETATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-A02180903-001-04-5,BETAMETHASONE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-A13133631-001-04-0,FLUOROMETHOLONE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-A62731508-001-05-8,CORTISONE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-A66869276-001-02-9,DIFLORASONE-DIACETATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-A78391468-001-02-8,PREDNISOLONE-HEMISUCCINATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-A83802939-304-04-2,DEXAMETHASONE-SODIUM-PHOSPHATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-A88138582-001-04-8,HALCINONIDE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-A94523291-304-02-7,PREDNISOLONE-SODIUM-PHOSPHATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-K33720171-001-01-0,DIFLUPREDNATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-K34032314-001-04-1,BETAMETHASONE-VALERATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-K35240538-001-26-2,METHYLPREDNISOLONE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-K45664306-001-19-6,PREDNISOLONE-ACETATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-K56515112-001-21-6,MEDRYSONE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-K60640630-001-11-0,MOMETASONE-FUROATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-K86161929-001-11-7,CORTISONE-ACETATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-K86161929-001-13-3,CORTISONE-ACETATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-K96006502-001-02-6,DEFLAZACORT
NR3C1,glucocorticoid receptor agonists,BRD:BRD-A92177080-001-02-1,BETAMETHASONE-ACETATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-K99199077-001-16-1,HYDROCORTISONE-BUTYRATE
NR3C1,glucocorticoid receptor agonists,BRD:BRD-K29328421-001-01-6,GSK9027
ADRB2,adrenergic receptor agonists,BRD:BRD-A07780951-001-08-9,METAPROTERENOL
ADRB2,adrenergic receptor agonists,BRD:BRD-A07780951-065-10-0,METAPROTERENOL
ADRB2,adrenergic receptor agonists,BRD:BRD-A16700644-003-04-4,ISOXSUPRINE
ADRB2,adrenergic receptor agonists,BRD:BRD-A36267905-003-18-4,BUPHENINE
ADRB2,adrenergic receptor agonists,BRD:BRD-A37441042-003-04-8,TULOBUTEROL
ADRB2,adrenergic receptor agonists,BRD:BRD-A50157456-065-20-6,TERBUTALINE
ADRB2,adrenergic receptor agonists,BRD:BRD-A59174698-003-18-5,RITODRINE
ADRB2,adrenergic receptor agonists,BRD:BRD-K14003026-003-09-0,RITODRINE
ADRB2,adrenergic receptor agonists,BRD:BRD-K34469523-003-03-0,LEVALBUTEROL
ADRB2,adrenergic receptor agonists,BRD:BRD-K54006094-051-01-7,FORMOTEROL
ADRB2,adrenergic receptor agonists,BRD:BRD-K78666826-003-01-6,PROCATEROL
ADRB2,adrenergic receptor agonists,BRD:BRD-A08316590-001-01-3,BROXATEROL
ADRB2,adrenergic receptor agonists,BRD:BRD-A13116749-003-01-6,MABUTEROL
ADRB2,adrenergic receptor agonists,BRD:BRD-A33894669-065-01-9,HEXOPRENALINE
ADRB2,adrenergic receptor agonists,BRD:BRD-K42816473-001-01-0,ZILPATEROL
